LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716019452137529000,31,17.647058823529413,89,34,3199.75,0.0000000000,0.0000000000,4.957371421780155,4.802269140478169,46.763791,23.531236166666666,394.7,321.29,33.4,08:04:12+00:00,13,-2,117,13.949999999999989,101.8
1716019452376146000,31,17.647058823529413,26,34,3199.75,2.0547575000,0.0000000000,4.956751986555409,0,46.763791,23.531236166666666,394.7,321.29,33.4,08:04:12+00:00,14,-1,124,13.949999999999989,101.8
1716019452647362000,31,17.647058823529413,26,34,2751.75,4.3902286111,0.0000000000,4.956048114248559,0,46.763791,23.531236166666666,394.7,321.29,33.4,08:04:12+00:00,12,0,127,13.949999999999989,101.8
1716019452886925000,31,17.647058823529413,26,34,2751.75,6.4531322222,0.0000000000,4.955426555519952,0,46.763791,23.531236166666666,394.7,321.29,33.4,08:04:12+00:00,11,-2,118,13.949999999999989,101.8
1716019452886925000,31,17.647058823529413,26,34,2751.75,6.4531322222,0.0000000000,4.955426555519952,0,46.76385416666667,23.531168,395.3,323.7,30.164,08:04:13+00:00,10,-3,124,13.949999999999989,101.8
1716019453126995000,30,17.647058823529413,26,34,2751.75,8.4537155555,0.0000000000,4.954823922961173,0,46.76385416666667,23.531168,395.3,323.7,30.164,08:04:13+00:00,10,5,119,13.949999999999989,101.8
1716019453367256000,30,17.647058823529413,65,34,2751.75,10.4558905555,0.0612915856,4.954722345856581,4.1201213461946065,46.76385416666667,23.531168,395.3,323.7,30.164,08:04:13+00:00,9,9,121,13.949999999999989,101.8
1716019453607367000,30,17.647058823529413,65,34,1855.75,12.4568155555,0.0978768251,4.954419087244806,2.4608564292018693,46.76385416666667,23.531168,395.3,323.7,30.164,08:04:13+00:00,7,12,125,13.949999999999989,101.8
1716019453607367000,30,17.647058823529413,65,34,1855.75,12.4568155555,0.0978768251,4.954419087244806,2.4608564292018693,46.76385416666667,23.531168,395.3,323.7,30.164,08:04:13+00:00,7,12,118,13.949999999999989,101.8
1716019453876721000,30,62.74509803921569,65,34,1855.75,14.7014322222,0.2438001593,4.954936738715577,8.749711748273311,46.76391266666667,23.531104166666665,396.3,322.88,28.717,08:04:14+00:00,8,14,127,13.949999999999989,101.8
