LATEST,SPEED,LOAD,MAP,IAT,RPM,DISTANCE,FUEL_USED,FUEL_CONSUMPTION,INSTANT_FUEL_CONSUMPTION,LATITUDE,LONGITUDE,ALTITUDE,HEADING,SPEED_GPS,TIME_GPS,X,Y,Z,AAT,AAP
1716020399403532000,89,94.11764705882354,94,33,4095.75,12697.3570861111,802.7405150199,6.504917847761898,11.98761057808173,46.75751133333333,23.495754833333333,413.3,218.89,88.406,08:19:59+00:00,32,17,127,13.949999999999989,101.8
1716020399403532000,89,94.11764705882354,94,33,4095.75,12697.3570861111,802.7405150199,6.504917847761898,11.98761057808173,46.75751133333333,23.495754833333333,413.3,218.89,88.406,08:19:59+00:00,25,17,137,13.949999999999989,101.8
1716020399643817000,89,94.11764705882354,94,33,4095.75,12703.2974652777,803.2696123948,6.5060353168243825,11.98761057808173,46.75751133333333,23.495754833333333,413.3,218.89,88.406,08:19:59+00:00,26,16,137,13.949999999999989,101.8
1716020399883683000,89,94.11764705882354,94,33,4223.75,12709.2274858333,803.8191699849,6.507249105416294,12.47292173820098,46.7573395,23.49554,412.5,221.4,91.678,08:20:00+00:00,22,11,107,13.949999999999989,101.8
1716020400122919000,89,94.11764705882354,94,33,4223.75,12715.1419313888,804.3672841804,6.508459214257167,12.47292173820098,46.7573395,23.49554,412.5,221.4,91.678,08:20:00+00:00,27,16,118,13.949999999999989,101.8
1716020400122919000,89,94.11764705882354,94,33,4223.75,12715.1419313888,804.3672841804,6.508459214257167,12.47292173820098,46.7573395,23.49554,412.5,221.4,91.678,08:20:00+00:00,22,16,134,13.949999999999989,101.8
1716020400362916000,89,94.11764705882354,94,33,4223.75,12721.0751905555,804.9171419049,6.509672679230693,12.47292173820098,46.7573395,23.49554,412.5,221.4,91.678,08:20:00+00:00,20,12,110,13.949999999999989,101.8
1716020400603529000,89,94.11764705882354,94,33,4287.75,12727.0236786111,805.4783487332,6.510934616989106,12.697772401963517,46.7573395,23.49554,412.5,221.4,91.678,08:20:00+00:00,24,9,118,13.949999999999989,101.8
1716020400843886000,89,96.47058823529413,94,33,4287.75,12732.9658377777,806.0529737093,6.512259353,13.015216712012604,46.757167833333334,23.495307,411.6,223.68,94.873,08:20:01+00:00,18,13,119,13.949999999999989,101.8
1716020400843886000,89,96.47058823529413,94,33,4287.75,12732.9658377777,806.0529737093,6.512259353,13.015216712012604,46.757167833333334,23.495307,411.6,223.68,94.873,08:20:01+00:00,17,17,145,13.949999999999989,101.8
1716020401112122000,94,96.47058823529413,94,33,4287.75,12739.9697777777,806.6942494162,6.513653950856606,12.322917951471824,46.757167833333334,23.495307,411.6,223.68,94.873,08:20:01+00:00,13,15,133,13.949999999999989,101.8
1716020401353173000,94,96.47058823529413,94,33,4287.75,12746.2638872222,807.2705335482,6.5149066393052255,12.322917951471824,46.757167833333334,23.495307,411.6,223.68,94.873,08:20:01+00:00,16,12,89,13.949999999999989,101.8
1716020401593429000,94,96.47058823529413,94,33,4415.75,12752.5372383333,807.8675382037,6.516258943417775,12.808235628721365,46.757167833333334,23.495307,411.6,223.68,94.873,08:20:01+00:00,12,17,137,13.949999999999989,101.8
1716020401833241000,94,96.47058823529413,94,33,4415.75,12758.7989961111,808.4634395775,6.517608169,12.808235628721365,46.757167833333334,23.495307,411.6,223.68,94.873,08:20:01+00:00,10,9,145,13.949999999999989,101.8
