Min Radius,Median Radius,Distance traveled,Median Speed,Min Deceleration,Max Centrifugal,Median Centrifugal,Max Rise/Run,Median Rise/Run,Category,Entry Speed,Exit Speed,Decelerated Speed,Accelerated Speed,Min Engine Load,Max Engine Load,Median Engine Load,MAPE ANN,RMSE ANN,MSE ANN,MAE ANN,MAPE RF,RMSE RF,MSE RF,MAE RF,Corner sum absolute error ANN,Corner sum relative error ANN,Corner sum absolute error RF,Corner sum relative error RF
True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,31.63,5.624448,31.634413,3.545272,269914281890426.656250,5.217158,27.218737,3.717740,6.325268,0.01613082,4.236298,0.01080349
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,47.64,6.901845,47.635456,3.919072,175243782548452.343750,5.190276,26.938964,3.378509,22.821738,0.05820044,30.931863,0.07888304
True,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,True,21.82,4.671392,21.821905,2.953314,259854777942144.500000,4.328956,18.739863,3.131678,0.908683,0.00231734,5.754786,0.01467597
True,True,True,False,True,False,True,False,True,False,False,False,False,False,True,True,True,21.00,4.582686,21.001011,3.176564,200430268806550.281250,5.196718,27.005879,3.811307,38.825698,0.09901405,2.547969,0.00649788
True,True,True,False,True,False,True,False,True,False,False,False,False,True,True,True,True,6.29,2.508752,6.293835,1.876100,176438273324611.125000,3.583418,12.840881,2.671368,1.788459,0.00456096,31.004612,0.07906856
False,False,True,False,True,False,True,False,True,True,False,False,False,True,True,True,True,22.32,4.724616,22.321995,3.219945,168557316589015.937500,4.145582,17.185847,3.112069,43.069013,0.10983543,11.137384,0.02840277
True,True,True,True,True,False,True,False,True,False,False,False,False,True,True,True,True,10.31,3.211493,10.313689,2.205861,107868844449020.281250,3.397441,11.542606,2.559289,20.223758,0.05157502,9.635265,0.02457204
True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,11.36,3.370685,11.361517,2.622165,344007367695662.000000,3.747532,14.043999,2.726249,4.502149,0.01148147,0.254810,0.00064982
True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,46.50,6.819072,46.499744,4.588422,765947802514115.250000,5.894559,34.745828,4.304996,24.498177,0.06247573,46.530538,0.11866308
