TIME,MAP (kPa),Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756131.349215,49,1761.0,0.855,-2.34375
1693756132.0674,36,1984.0,0.84,-7.03125
1693756132.81863,29,2036.0,0.095,-4.6875
1693756133.537161,36,1598.0,0.07,-3.90625
1693756134.257732,68,1063.0,0.03,-0.78125
1693756135.00745,70,1225.0,0.395,-0.78125
1693756135.757797,68,1374.0,0.205,4.6875
1693756136.477388,65,1528.0,0.45,-0.78125
1693756137.197918,63,1691.0,0.88,-0.78125
1693756137.917653,31,1847.0,0.9,-4.6875
1693756138.697634,31,1756.0,0.88,-9.375
1693756139.447204,50,1222.0,0.025,-7.03125
1693756140.166945,75,1055.0,0.025,-3.125
1693756140.917658,85,1055.0,0.09,0.78125
1693756141.637372,91,1152.0,0.05,2.34375
1693756142.358102,95,1275.0,0.105,6.25
1693756143.107397,95,1400.0,0.785,3.90625
1693756143.827938,95,1523.0,0.17,6.25
1693756144.577394,94,1674.0,0.17,3.90625
1693756145.329205,94,1816.0,0.145,1.5625
1693756146.047632,94,1948.0,0.105,2.34375
1693756146.76729,94,2099.0,0.74,2.34375
1693756147.517543,94,2251.0,0.185,4.6875
1693756148.267904,94,2433.0,0.775,6.25
1693756148.989211,94,2563.0,0.125,16.40625
1693756149.737577,94,2755.0,0.18,13.28125
1693756150.487584,94,2940.0,0.215,10.15625
1693756151.207688,94,3095.0,0.77,2.34375
1693756151.928687,94,3275.0,0.735,-1.5625
1693756152.677676,94,3450.0,0.535,-3.90625
1693756153.428116,94,3611.0,0.1,-0.78125
1693756154.177985,94,3771.0,0.255,0.78125
1693756154.92813,94,3941.0,0.835,1.5625
1693756155.647835,93,4089.0,0.825,-2.34375
1693756156.398391,93,4269.0,0.225,-1.5625
1693756157.177815,93,4427.0,0.135,2.34375
1693756157.898164,93,4562.0,0.415,3.125
1693756158.647838,93,4723.0,0.895,0.0
1693756159.368161,93,4858.0,0.88,0.0
1693756160.117998,93,5007.0,0.87,0.0
1693756160.838144,93,5155.0,0.875,0.0
1693756161.558422,93,5282.0,0.88,0.0
1693756162.277844,93,5407.0,0.88,0.0
1693756162.998512,93,5527.0,0.88,0.0
1693756163.747887,92,5626.0,0.875,0.0
1693756164.468212,93,5774.0,0.88,0.0
1693756165.187904,93,5892.0,0.875,0.0
1693756165.908435,93,5986.0,0.875,0.0
1693756166.627917,93,6093.0,0.875,0.0
1693756167.377653,93,6198.0,0.875,0.0
1693756168.098354,93,6297.0,0.87,0.0
1693756168.818188,93,6388.0,0.87,0.0
1693756169.538344,92,6454.0,0.87,-3.125
1693756170.28783,24,6178.0,0.0,0.0
1693756171.00874,21,4644.0,0.0,0.0
1693756171.758829,27,3229.0,0.0,0.0
1693756172.47832,32,2004.0,0.01,1.5625
1693756173.197915,45,1278.0,0.89,-0.78125
1693756173.917833,46,1094.0,0.85,-2.34375
1693756174.638495,48,1001.0,0.815,-4.6875
1693756175.388026,48,991.0,0.79,-7.03125
1693756176.138834,47,977.0,0.73,-9.375
1693756176.887902,48,947.0,0.09,-7.8125
1693756177.60856,47,973.0,0.815,-9.375
1693756178.327988,47,957.0,0.235,-8.59375
1693756179.078789,47,958.0,0.4,-3.90625
1693756179.798402,46,957.0,0.805,-10.9375
1693756180.518568,46,950.0,0.065,-9.375
1693756181.238894,48,952.0,0.335,-8.59375
1693756181.987048,47,974.0,0.82,-6.25
1693756182.737805,47,952.0,0.505,-11.71875
1693756183.487546,47,943.0,0.09,-5.46875
1693756184.208016,47,951.0,0.83,-7.03125
1693756184.958564,47,943.0,0.155,-7.03125
1693756185.678631,47,947.0,0.64,-2.34375
1693756186.398344,47,961.0,0.65,-10.15625
1693756187.148887,48,936.0,0.075,-3.90625
1693756187.868181,46,957.0,0.83,-6.25
1693756188.619044,41,935.0,0.82,-10.9375
1693756189.338301,42,895.0,0.05,-8.59375
1693756190.058362,43,902.0,0.06,-3.90625
1693756190.808951,43,915.0,0.83,-3.90625
1693756191.529114,43,915.0,0.785,-8.59375
1693756192.248233,44,921.0,0.065,-4.6875
