TIME,MAP (kPa),Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756304.209816,47,1022.0,0.84,-0.78125
1693756304.929911,47,966.0,0.785,-3.125
1693756305.649603,78,926.0,0.51,1.5625
1693756306.36975,78,1526.0,0.055,3.90625
1693756307.089418,88,1591.0,0.825,5.46875
1693756307.840294,73,2458.0,0.925,2.34375
1693756308.561624,31,2820.0,0.885,-3.125
1693756309.280273,32,2306.0,0.0,0.78125
1693756310.029942,52,1565.0,0.05,5.46875
1693756310.780173,70,1676.0,0.415,2.34375
1693756311.529725,70,1874.0,0.82,2.34375
1693756312.250175,67,2076.0,0.165,5.46875
1693756312.999331,34,2236.0,0.895,-0.78125
1693756313.750186,28,2373.0,0.705,-5.46875
1693756314.49932,41,1537.0,0.05,2.34375
1693756315.220189,42,1402.0,0.84,0.78125
1693756315.969592,45,1353.0,0.365,-3.90625
1693756316.689919,52,1343.0,0.185,3.125
1693756317.469574,48,1267.0,0.85,-3.125
1693756318.190014,61,1240.0,0.035,-1.5625
1693756318.910048,94,1284.0,0.27,0.0
1693756319.6301,95,1374.0,0.07,5.46875
1693756320.380072,94,1519.0,0.825,3.90625
1693756321.128864,94,1644.0,0.84,3.125
1693756321.849639,94,1786.0,0.825,1.5625
1693756322.569499,94,1942.0,0.78,1.5625
1693756323.322632,94,2066.0,0.835,3.90625
1693756324.039966,94,2260.0,0.81,5.46875
1693756324.790429,94,2436.0,0.18,11.71875
1693756325.509569,94,2594.0,0.145,15.625
1693756326.230066,94,2753.0,0.145,14.0625
1693756326.950908,94,2914.0,0.155,11.71875
1693756327.669446,93,3094.0,0.79,3.90625
1693756328.391281,93,3255.0,0.82,0.0
1693756329.139501,94,3429.0,0.77,-2.34375
1693756329.890281,94,3589.0,0.2,-1.5625
1693756330.639696,94,3754.0,0.135,-0.78125
1693756331.360066,94,3908.0,0.795,1.5625
1693756332.109703,93,4067.0,0.845,-1.5625
1693756332.86005,93,4223.0,0.47,-4.6875
1693756333.609838,93,4381.0,0.1,0.0
1693756334.330445,93,4524.0,0.415,2.34375
1693756335.110538,93,4670.0,0.895,0.0
1693756335.830141,93,4817.0,0.89,0.0
1693756336.580472,93,4950.0,0.865,0.0
1693756337.330301,93,5088.0,0.87,0.0
1693756338.050761,93,5212.0,0.875,0.0
1693756338.769743,93,5319.0,0.88,0.0
1693756339.550334,93,5443.0,0.875,0.0
1693756340.269994,93,5551.0,0.88,0.0
1693756340.990885,92,5669.0,0.875,0.0
1693756341.709915,93,5760.0,0.875,0.0
1693756342.429849,93,5864.0,0.87,0.0
1693756343.150217,93,5952.0,0.87,0.0
1693756343.870551,93,6034.0,0.87,0.0
1693756344.649951,93,6143.0,0.875,0.0
1693756345.370582,93,6198.0,0.87,0.0
1693756346.120456,92,6281.0,0.865,0.0
1693756346.839782,92,6340.0,0.865,0.0
1693756347.56027,92,6410.0,0.86,0.0
1693756348.30985,93,6460.0,0.86,0.0
1693756349.030535,93,6522.0,0.0,0.0
1693756349.750524,28,6443.0,0.0,0.0
1693756350.530267,25,6224.0,0.0,0.0
1693756351.249845,24,6048.0,0.0,0.0
1693756352.00046,23,5850.0,0.0,0.0
1693756352.720234,23,5690.0,0.0,0.0
1693756353.44047,22,5531.0,0.0,0.0
1693756354.159628,22,4244.0,0.0,0.0
1693756354.879365,22,3832.0,0.0,0.0
1693756355.660282,22,3737.0,0.0,0.0
1693756356.380181,28,3069.0,0.0,0.0
1693756357.101314,27,2589.0,0.0,0.0
1693756357.819989,28,2851.0,0.0,0.0
1693756358.570076,28,2781.0,0.0,0.0
1693756359.289924,28,2721.0,0.0,0.0
1693756360.072613,28,2658.0,0.0,0.0
1693756360.790579,28,2594.0,0.0,0.0
1693756361.51063,28,2532.0,0.0,0.0
1693756362.230806,27,2475.0,0.0,0.0
1693756362.95182,27,2412.0,0.0,0.0
1693756363.700821,27,2352.0,0.0,0.0
1693756364.420061,27,2289.0,0.0,0.0
1693756365.140739,27,2237.0,0.0,0.0
1693756365.890211,27,2171.0,0.0,0.0
1693756366.610478,26,2119.0,0.0,0.0
1693756367.360083,27,2064.0,0.0,0.0
1693756368.110544,28,2009.0,0.0,0.0
1693756368.830137,35,1958.0,0.0,0.0
1693756369.551106,55,1943.0,0.075,5.46875
1693756370.270656,56,1902.0,0.775,0.0
1693756371.020348,45,1891.0,0.885,-1.5625
1693756371.740948,32,1871.0,0.81,-6.25
1693756372.46028,32,1845.0,0.055,-3.125
1693756373.180347,34,1800.0,0.0,0.0
1693756373.930745,40,1739.0,0.0,0.0
1693756374.650731,41,1690.0,0.0,0.0
1693756375.400899,51,1644.0,0.035,3.125
1693756376.120766,53,1638.0,0.12,7.8125
