TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%),Calculated engine load (%),IAT (Celsius),Throttle position (%)
1693758311.570437,1017.0,45,0.15,-0.78125,22.35294117647059,38,8.627450980392158
1693758313.007486,1055.0,44,0.795,-2.34375,20.784313725490197,38,8.627450980392158
1693758314.44748,1021.0,45,0.73,1.5625,20.784313725490197,38,8.627450980392158
1693758315.917887,974.0,46,0.06,1.5625,20.784313725490197,38,8.627450980392158
1693758317.357522,1014.0,45,0.71,-3.90625,22.35294117647059,38,8.627450980392158
1693758318.827644,1016.0,45,0.845,1.5625,20.784313725490197,38,8.627450980392158
1693758320.298257,965.0,47,0.06,1.5625,22.35294117647059,38,8.627450980392158
1693758321.798213,1538.0,38,0.695,-1.5625,20.784313725490197,38,14.901960784313726
1693758323.237743,1133.0,71,0.105,3.125,40.392156862745104,38,17.647058823529413
1693758324.678002,1507.0,66,0.115,7.8125,28.23529411764706,38,11.372549019607844
1693758326.147768,1728.0,37,0.855,-2.34375,17.647058823529413,38,11.372549019607844
1693758327.590392,1651.0,40,0.04,0.0,18.823529411764707,38,12.941176470588236
1693758329.028054,1601.0,49,0.06,7.8125,33.333333333333336,38,19.215686274509807
1693758330.49765,1845.0,65,0.735,3.125,38.43137254901961,38,19.215686274509807
1693758331.937764,2196.0,58,0.82,0.0,25.098039215686278,38,15.686274509803923
1693758333.46786,2412.0,49,0.215,4.6875,28.23529411764706,38,17.254901960784316
1693758334.911608,2608.0,49,0.8,-0.78125,20.784313725490197,37,8.627450980392158
1693758336.348321,2664.0,28,0.005,0.0,22.35294117647059,37,16.862745098039216
1693758337.847768,2604.0,50,0.12,7.8125,27.058823529411768,37,10.19607843137255
1693758339.287756,2720.0,29,0.105,-1.5625,17.647058823529413,37,8.627450980392158
1693758340.757696,2375.0,28,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758342.230316,1928.0,30,0.0,0.0,20.784313725490197,37,13.725490196078432
1693758343.668113,1756.0,37,0.05,2.34375,17.647058823529413,37,8.627450980392158
1693758345.168309,1580.0,35,0.26,-0.78125,17.647058823529413,37,8.627450980392158
1693758346.607315,1422.0,33,0.705,-3.125,20.784313725490197,37,18.03921568627451
1693758348.108094,1414.0,87,0.2,2.34375,68.62745098039215,37,38.82352941176471
1693758349.578444,2105.0,91,0.785,7.03125,74.11764705882354,37,50.196078431372555
1693758351.048129,2890.0,91,0.815,2.34375,70.98039215686275,37,8.627450980392158
1693758352.548512,3287.0,27,0.0,0.0,17.647058823529413,37,23.92156862745098
1693758353.989939,2145.0,86,0.835,6.25,65.88235294117648,37,33.72549019607843
1693758355.45851,2428.0,86,0.84,5.46875,63.529411764705884,36,31.372549019607845
1693758356.928216,2646.0,85,0.1,1.5625,50.196078431372555,36,30.58823529411765
1693758358.397992,2821.0,48,0.905,-3.90625,17.647058823529413,37,8.627450980392158
1693758359.838153,2732.0,29,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758361.338075,2538.0,28,0.0,0.0,17.647058823529413,37,12.15686274509804
1693758362.778417,2342.0,33,0.0,0.0,17.647058823529413,37,12.941176470588236
1693758364.278321,2178.0,33,0.005,0.0,17.647058823529413,37,8.627450980392158
1693758365.748303,1822.0,87,0.02,0.0,17.647058823529413,37,8.627450980392158
1693758367.218626,2892.0,29,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758368.688414,2205.0,27,0.0,0.0,17.647058823529413,37,8.627450980392158
1693758370.218509,1435.0,34,0.04,3.125,17.647058823529413,37,8.627450980392158
1693758371.68841,953.0,46,0.215,4.6875,20.784313725490197,37,8.627450980392158
1693758373.159188,972.0,47,0.105,1.5625,20.784313725490197,37,8.627450980392158
1693758374.628767,987.0,44,0.75,-3.125,17.647058823529413,37,8.627450980392158
1693758376.09889,921.0,43,0.03,-3.125,22.35294117647059,37,12.549019607843139
1693758377.601134,1174.0,45,0.83,-3.90625,23.529411764705884,37,13.333333333333334
1693758379.128658,969.0,49,0.63,5.46875,22.35294117647059,37,8.627450980392158
1693758380.598452,916.0,39,0.82,-7.03125,25.098039215686278,37,8.627450980392158
1693758382.068621,1032.0,43,0.43,-0.78125,18.823529411764707,37,9.411764705882353
1693758383.538477,1013.0,48,0.045,0.78125,34.90196078431373,37,17.254901960784316
1693758384.978531,1154.0,73,0.26,7.8125,47.84313725490196,37,26.666666666666668
1693758386.47866,2216.0,79,0.13,5.46875,58.03921568627452,37,8.627450980392158
1693758387.948515,3278.0,26,0.875,0.0,17.647058823529413,37,12.549019607843139
1693758389.389105,1788.0,45,0.025,2.34375,45.490196078431374,37,27.84313725490196
