TIME,Engine speed (RPM),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693757998.093993,2878.0,0.21,0.78125
1693757998.573978,2862.0,0.88,0.78125
1693757999.084018,2810.0,0.825,-3.125
1693757999.564095,2797.0,0.0,0.0
1693758000.043794,2770.0,0.0,0.0
1693758000.524057,2737.0,0.0,0.0
1693758001.003478,2705.0,0.0,0.0
1693758001.483747,2673.0,0.0,0.0
1693758001.93367,2650.0,0.0,0.0
1693758002.413293,2622.0,0.0,0.0
1693758002.923765,2595.0,0.0,0.0
1693758003.403742,2562.0,0.0,1.5625
1693758003.886484,2548.0,0.05,4.6875
1693758004.395859,2531.0,0.135,9.375
1693758004.873428,2522.0,0.725,4.6875
1693758005.353677,2519.0,0.805,9.375
1693758005.863518,2501.0,0.405,3.125
1693758006.345549,2492.0,0.06,9.375
1693758006.853454,2453.0,0.0,0.0
1693758007.363922,2426.0,0.0,0.0
1693758007.844559,2438.0,0.03,3.125
1693758008.32347,2385.0,0.06,6.25
1693758008.803401,2375.0,0.65,10.15625
1693758009.283523,2363.0,0.105,7.8125
1693758009.763898,2365.0,0.85,7.03125
1693758010.273224,2378.0,0.77,1.5625
1693758010.814512,2382.0,0.265,9.375
1693758011.293468,2384.0,0.66,3.125
1693758011.773674,2384.0,0.83,4.6875
1693758012.253536,2382.0,0.16,3.90625
1693758012.733573,2386.0,0.83,2.34375
1693758013.213944,2392.0,0.055,3.125
1693758013.694091,2394.0,0.08,7.8125
1693758014.206911,2388.0,0.83,6.25
1693758014.714818,2379.0,0.105,7.03125
1693758015.194019,2365.0,0.83,5.46875
1693758015.705111,2361.0,0.065,7.03125
1693758016.21425,2353.0,0.46,10.15625
1693758016.724222,2353.0,0.115,8.59375
1693758017.233831,2350.0,0.645,12.5
1693758017.714307,2360.0,0.775,7.8125
1693758018.194089,2364.0,0.375,12.5
1693758018.704387,2370.0,0.845,8.59375
1693758019.184346,2379.0,0.15,7.8125
1693758019.664379,2379.0,0.845,10.15625
1693758020.174328,2388.0,0.815,3.125
1693758020.654502,2386.0,0.345,2.34375
1693758021.134014,2384.0,0.815,3.90625
1693758021.613876,2379.0,0.845,-2.34375
1693758022.123746,2373.0,0.145,-1.5625
1693758022.603756,2342.0,0.0,0.0
1693758023.084925,2313.0,0.0,0.0
1693758023.563484,2271.0,0.0,0.0
1693758024.043675,2240.0,0.0,0.0
1693758024.526367,2203.0,0.0,0.0
1693758024.973759,2161.0,0.0,0.0
1693758025.454626,2129.0,0.0,0.0
1693758025.96425,2076.0,0.0,0.0
1693758026.44381,2020.0,0.0,0.0
1693758026.923869,1970.0,0.0,0.0
1693758027.403606,1934.0,0.0,0.0
1693758027.883798,2119.0,0.88,0.0
1693758028.363744,2747.0,0.0,0.0
1693758028.815529,2329.0,0.0,0.0
1693758029.294327,2282.0,0.0,0.0
1693758029.804035,2237.0,0.0,0.0
1693758030.284454,2180.0,0.0,0.0
1693758030.764447,2117.0,0.0,0.0
1693758031.243845,2061.0,0.0,0.0
1693758031.724405,1746.0,0.9,2.34375
1693758032.204284,3169.0,0.0,0.0
1693758032.714297,2722.0,0.0,0.0
1693758033.193782,2690.0,0.0,0.0
1693758033.67428,2636.0,0.0,0.0
1693758034.124231,2584.0,0.0,0.0
1693758034.603757,2521.0,0.0,1.5625
1693758035.143496,2509.0,0.04,6.25
1693758035.624309,2498.0,0.18,10.15625
1693758036.106561,2507.0,0.33,7.8125
1693758036.583749,2532.0,0.13,12.5
1693758037.065075,2533.0,0.08,17.1875
1693758037.543945,2551.0,0.855,12.5
1693758038.023988,2566.0,0.825,7.8125
1693758038.533876,2570.0,0.685,3.125
1693758039.014318,2592.0,0.59,8.59375
1693758039.493796,2591.0,0.8,3.90625
1693758039.974649,2611.0,0.195,7.8125
1693758040.45387,2624.0,0.85,4.6875
1693758040.934021,2642.0,0.115,4.6875
1693758041.477295,2649.0,0.81,9.375
1693758041.9538,2680.0,0.82,4.6875
1693758042.433389,2723.0,0.115,3.90625
1693758042.913273,2748.0,0.73,0.78125
1693758043.393827,2781.0,0.22,7.03125
1693758043.874287,2808.0,0.775,0.78125
1693758044.354394,2820.0,0.805,4.6875
1693758044.834603,2831.0,0.765,-3.90625
1693758045.344432,2833.0,0.08,1.5625
1693758045.824581,2847.0,0.665,-2.34375
1693758046.30412,2853.0,0.7,3.125
1693758046.78401,2856.0,0.175,1.5625
1693758047.265307,2832.0,0.905,-3.125
1693758047.774224,2669.0,0.83,0.0
1693758048.254222,2055.0,0.0,0.0
1693758048.764202,1975.0,0.0,0.0
1693758049.274117,1917.0,0.0,0.0
1693758049.75427,1898.0,0.0,0.0
1693758050.235991,1839.0,0.0,0.0
1693758050.714714,1824.0,0.0,0.0
1693758051.194658,1772.0,0.0,0.0
1693758051.674803,1729.0,0.0,0.0
1693758052.214602,1701.0,0.0,0.0
1693758052.696203,1661.0,0.0,0.0
1693758053.204238,1612.0,0.0,0.0
1693758053.714724,1566.0,0.0,1.5625
1693758054.195368,1920.0,0.94,0.0
1693758054.675562,2064.0,0.0,0.0
1693758055.18537,2015.0,0.0,0.0
1693758055.695297,1936.0,0.0,0.0
1693758056.175189,1846.0,0.0,0.0
1693758056.684318,1705.0,0.0,0.0
1693758057.164314,1587.0,0.0,0.0
1693758057.644496,1463.0,0.0,0.0
1693758058.157171,1268.0,0.035,2.34375
1693758058.634416,949.0,0.035,3.90625
1693758059.115483,823.0,0.035,4.6875
1693758059.62456,941.0,0.05,6.25
1693758060.134688,984.0,0.055,7.8125
1693758060.644428,1008.0,0.125,9.375
1693758061.154825,1116.0,0.865,7.03125
1693758061.6377,1174.0,0.775,5.46875
1693758062.115961,1460.0,0.865,5.46875
1693758062.595836,1353.0,0.125,7.8125
1693758063.104447,2137.0,0.175,6.25
1693758063.58449,2834.0,0.095,12.5
1693758064.095781,3236.0,0.93,6.25
1693758064.604551,3292.0,0.89,0.0
1693758065.084903,2680.0,0.0,0.0
1693758065.564905,1952.0,0.045,3.90625
1693758066.074358,2063.0,0.435,0.78125
1693758066.555,2183.0,0.675,0.78125
1693758067.035548,2284.0,0.84,1.5625
1693758067.577697,2334.0,0.775,-1.5625
1693758068.05487,2375.0,0.05,2.34375
1693758068.535365,2437.0,0.895,2.34375
1693758069.044851,2436.0,0.84,-1.5625
1693758069.555298,2415.0,0.07,0.0
1693758070.03529,2299.0,0.0,0.0
1693758070.547652,2171.0,0.0,0.0
1693758071.055085,2053.0,0.0,0.0
1693758071.534966,2045.0,0.03,3.125
1693758072.045849,1997.0,0.08,7.03125
1693758072.525108,2080.0,0.75,10.15625
1693758073.00483,2155.0,0.285,7.03125
1693758073.484571,2242.0,0.785,3.90625
1693758073.964558,2321.0,0.52,7.03125
1693758074.447214,2392.0,0.175,4.6875
1693758074.954556,2490.0,0.465,1.5625
1693758075.434611,2568.0,0.79,7.8125
1693758075.947065,2659.0,0.13,5.46875
1693758076.424955,2760.0,0.63,0.78125
1693758076.90584,2878.0,0.755,7.03125
1693758077.38448,3000.0,0.115,6.25
1693758077.864653,3122.0,0.915,3.125
1693758078.347294,3154.0,0.895,-1.5625
1693758078.825545,2783.0,0.01,0.0
1693758079.304459,2029.0,0.01,1.5625
1693758079.815428,1999.0,0.805,5.46875
1693758080.294845,2041.0,0.06,7.03125
1693758080.774636,2140.0,0.835,7.03125
1693758081.254849,2254.0,0.135,5.46875
1693758081.734593,2356.0,0.83,5.46875
1693758082.214694,2455.0,0.2,8.59375
1693758082.69513,2539.0,0.33,6.25
1693758083.177206,2654.0,0.84,5.46875
1693758083.65532,2756.0,0.2,7.8125
1693758084.135176,2859.0,0.21,4.6875
1693758084.645516,2952.0,0.775,2.34375
1693758085.125038,3060.0,0.83,7.03125
1693758085.60429,3141.0,0.88,-2.34375
1693758086.084546,3182.0,0.9,-7.03125
1693758086.564643,2932.0,0.665,0.0
1693758087.045872,2250.0,0.025,2.34375
1693758087.55465,2235.0,0.06,6.25
1693758088.035045,2239.0,0.835,4.6875
1693758088.51507,2258.0,0.205,3.90625
1693758088.994776,2269.0,0.83,3.125
1693758089.474569,2287.0,0.105,3.125
1693758089.954937,2304.0,0.84,2.34375
1693758090.435158,2326.0,0.095,3.90625
1693758090.914555,2340.0,0.885,5.46875
1693758091.425024,2324.0,0.91,-0.78125
1693758091.904671,2289.0,0.865,-3.90625
1693758092.385792,2282.0,0.535,0.0
1693758092.865116,2210.0,0.0,0.0
1693758093.344861,2153.0,0.0,0.0
1693758093.824894,2074.0,0.0,0.0
1693758094.334793,1984.0,0.0,0.0
1693758094.874685,1883.0,0.0,0.0
1693758095.384857,1763.0,0.0,0.0
1693758095.865052,1610.0,0.0,0.0
1693758096.374837,1455.0,0.0,1.5625
1693758096.8848,1052.0,0.035,3.125
1693758097.365596,1035.0,0.045,3.90625
1693758097.84498,1063.0,0.415,5.46875
1693758098.325646,1041.0,0.82,1.5625
1693758098.804953,1028.0,0.805,0.78125
1693758099.285376,994.0,0.245,1.5625
1693758099.765716,982.0,0.625,0.78125
1693758100.244612,983.0,0.31,1.5625
1693758100.725607,985.0,0.695,0.78125
1693758101.205151,999.0,0.805,-0.78125
1693758101.684954,976.0,0.28,0.0
1693758102.165075,973.0,0.07,1.5625
1693758102.735922,1018.0,0.845,0.78125
1693758103.214561,1029.0,0.86,-2.34375
1693758103.694534,1008.0,0.8,-6.25
1693758104.174635,955.0,0.05,-3.125
1693758104.684242,1026.0,0.64,0.0
1693758105.195052,960.0,0.83,-6.25
1693758105.675523,916.0,0.705,-9.375
1693758106.155021,897.0,0.04,-4.6875
1693758106.694908,936.0,0.07,-0.78125
1693758107.205286,959.0,0.845,-3.90625
1693758107.685064,941.0,0.835,-7.03125
1693758108.165286,926.0,0.735,-10.9375
1693758108.675074,903.0,0.045,-6.25
1693758109.155026,922.0,0.06,-3.125
1693758109.63547,930.0,0.27,0.0
1693758110.115109,924.0,0.815,-4.6875
1693758110.65576,923.0,0.73,-8.59375
1693758111.134424,919.0,0.06,-5.46875
