TIME,Engine speed (RPM),MAP (kPa),Oxygen sensor 1 (V),Oxygen sensor 1 (%)
1693756916.428474,4034.0,29,0.885,-3.90625
1693756917.179649,3981.0,22,0.0,0.0
1693756917.928203,3878.0,26,0.67,3.90625
1693756918.708675,3819.0,32,0.09,3.125
1693756919.428244,3771.0,43,0.79,6.25
1693756920.178143,3737.0,49,0.12,2.34375
1693756920.928323,3733.0,71,0.145,0.0
1693756921.648228,3739.0,78,0.785,1.5625
1693756922.368201,3775.0,79,0.735,-0.78125
1693756923.117863,3778.0,58,0.835,-4.6875
1693756923.899168,3773.0,46,0.82,-3.125
1693756924.618177,3752.0,43,0.82,-3.125
1693756925.338613,3722.0,36,0.84,3.125
1693756926.057924,3686.0,33,0.825,-8.59375
1693756926.7788,3628.0,25,0.015,0.0
1693756927.528709,3561.0,23,0.0,0.0
1693756928.278645,3480.0,22,0.0,0.0
1693756928.999101,3377.0,26,0.0,0.78125
1693756929.748686,3350.0,38,0.805,3.125
1693756930.499167,3301.0,26,0.84,0.0
1693756931.218287,3259.0,30,0.005,1.5625
1693756931.968688,3162.0,42,0.795,3.90625
1693756932.688113,3161.0,52,0.765,0.78125
1693756933.408269,3154.0,53,0.115,5.46875
1693756934.128177,3150.0,76,0.84,-2.34375
1693756934.878194,3173.0,86,0.12,4.6875
1693756935.658301,3209.0,51,0.29,2.34375
1693756936.378296,3202.0,38,0.865,-3.90625
1693756937.098521,3130.0,25,0.19,0.0
1693756937.818725,3158.0,34,0.735,6.25
1693756938.538134,3073.0,33,0.805,-3.90625
1693756939.228123,3000.0,29,0.01,0.0
1693756939.978374,2955.0,32,0.025,2.34375
1693756940.758766,2929.0,42,0.805,3.125
1693756941.481095,2885.0,44,0.755,3.125
1693756942.198325,2874.0,72,0.87,2.34375
1693756942.947989,2891.0,86,0.495,5.46875
1693756943.698578,2919.0,89,0.815,5.46875
1693756944.418729,2969.0,91,0.685,10.9375
1693756945.109011,3021.0,92,0.825,10.15625
1693756945.828317,3071.0,92,0.82,9.375
1693756946.548855,3141.0,92,0.825,5.46875
1693756947.29874,3213.0,93,0.8,6.25
1693756948.018565,3282.0,93,0.8,0.78125
1693756948.738565,3335.0,93,0.355,-1.5625
1693756949.459191,3397.0,93,0.12,2.34375
1693756950.178865,3456.0,74,0.86,-3.90625
1693756950.928824,3450.0,23,0.865,0.0
1693756951.679014,3383.0,23,0.0,0.0
1693756952.428843,3308.0,27,0.035,3.125
1693756953.178949,3275.0,85,0.85,7.03125
1693756953.899909,3323.0,89,0.82,4.6875
1693756954.649122,3372.0,78,0.815,3.90625
1693756955.399617,3420.0,85,0.355,0.78125
1693756956.118989,3480.0,88,0.27,7.03125
1693756956.868507,3536.0,88,0.81,3.125
1693756957.619072,3597.0,90,0.745,1.5625
1693756958.338658,3653.0,90,0.17,2.34375
1693756959.088764,3707.0,43,0.825,-7.03125
1693756959.80874,3682.0,23,0.875,0.0
1693756960.529152,3604.0,28,0.05,3.90625
1693756961.249606,3565.0,45,0.32,3.125
1693756961.968752,3573.0,81,0.085,4.6875
1693756962.749133,3585.0,27,0.885,-2.34375
1693756963.468635,3528.0,23,0.0,0.0
1693756964.190394,3439.0,23,0.0,0.0
1693756964.87882,3378.0,23,0.0,0.0
1693756965.599115,3289.0,35,0.04,4.6875
1693756966.348795,3258.0,59,0.12,7.03125
1693756967.069901,3261.0,71,0.88,-3.90625
1693756967.789114,3223.0,24,0.795,0.0
1693756968.508796,3169.0,32,0.045,3.90625
1693756969.258629,3121.0,49,0.765,-1.5625
1693756969.977883,3104.0,58,0.8,-3.90625
1693756970.698502,3100.0,36,0.15,-5.46875
1693756971.418508,3066.0,30,0.005,0.0
1693756972.139476,2999.0,27,0.0,0.0
1693756972.859126,2924.0,27,0.0,0.0
1693756973.579004,2858.0,28,0.0,0.0
1693756974.269336,2794.0,28,0.0,0.0
1693756974.988724,2728.0,40,0.08,6.25
1693756975.709216,2716.0,53,0.145,8.59375
1693756976.458982,2716.0,72,0.89,1.5625
1693756977.179568,2709.0,41,0.06,0.78125
1693756977.869485,2697.0,51,0.16,7.8125
1693756978.588996,2694.0,53,0.6,7.03125
1693756979.309422,2675.0,36,0.83,-1.5625
1693756980.029249,2614.0,30,0.04,0.0
1693756980.778946,2543.0,41,0.06,6.25
1693756981.528805,2570.0,31,0.795,0.0
1693756982.249551,2501.0,28,0.0,0.0
1693756982.970466,2503.0,39,0.05,4.6875
1693756983.68943,2424.0,37,0.85,5.46875
1693756984.409628,2401.0,35,0.085,5.46875
1693756985.128944,2382.0,40,0.09,5.46875
1693756985.879341,2372.0,66,0.095,8.59375
1693756986.602154,2404.0,85,0.825,0.0
1693756987.319262,2437.0,75,0.52,-1.5625
1693756988.039138,2432.0,30,0.855,-3.90625
1693756988.759914,2987.0,28,0.0,0.0
1693756989.50904,3230.0,25,0.0,0.0
1693756990.259902,3145.0,26,0.86,0.0
1693756990.979476,3107.0,27,0.0,0.0
1693756991.729506,2998.0,34,0.04,3.125
1693756992.509504,2957.0,38,0.79,2.34375
1693756993.290183,2925.0,36,0.875,0.78125
1693756994.03946,2870.0,29,0.0,0.0
1693756994.75959,2772.0,41,0.135,7.8125
1693756995.479656,2825.0,57,0.09,7.03125
1693756996.199452,2886.0,93,0.04,11.71875
1693756996.890983,3069.0,93,0.905,8.59375
1693756997.60929,3132.0,28,0.895,1.5625
1693756998.329944,3088.0,27,0.0,0.0
1693756999.049866,2791.0,93,0.235,0.0
1693756999.79963,3925.0,22,0.0,0.0
1693757000.51976,4148.0,22,0.0,0.0
1693757001.269285,3587.0,22,0.0,0.0
1693757001.989639,2914.0,28,0.0,0.0
1693757002.679607,2260.0,26,0.0,0.0
1693757003.399448,1747.0,35,0.015,1.5625
1693757004.149215,1238.0,43,0.825,0.0
1693757004.898856,1228.0,42,0.87,-2.34375
1693757005.621719,1089.0,43,0.54,-4.6875
1693757006.339136,976.0,47,0.06,0.0
1693757007.119163,1009.0,46,0.145,2.34375
1693757007.839166,1026.0,45,0.715,-1.5625
1693757008.649444,1022.0,40,0.84,-0.78125
1693757009.369647,950.0,41,0.775,-3.125
1693757010.089218,899.0,43,0.055,0.78125
1693757010.809654,942.0,42,0.83,-1.5625
